group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
TN,16,14,52,Fwd Seg Size Avg,0.016094856213072387,0.002558872735346839
TN,16,15,37,Pkt Len Min,0.01586328250750624,0.003283415396873978
TN,16,16,38,Pkt Len Max,0.015200316022607718,0.004358787583689909
TN,16,17,40,Pkt Len Std,0.014941027429553796,0.004874428743597442
TN,16,18,2,Flow Duration,0.0148382268320991,0.0012591613432327148
TN,16,19,16,Flow Pkts/s,0.01480989539444562,0.002648566445011345
TN,16,20,1,Protocol,0.01480216493919484,0.0038011940307086265
TN,16,21,45,PSH Flag Cnt,0.014597181947700346,0.0026809224073620964
TN,16,22,11,Bwd Pkt Len Max,0.014002009044064458,0.0023378134931188012
TN,16,23,13,Bwd Pkt Len Mean,0.013968383812544302,0.004693721534421161
TN,16,24,39,Pkt Len Mean,0.013957841442861031,0.002994095881217375
TN,16,25,47,URG Flag Cnt,0.01383599416942164,0.002499210855337637
TN,16,26,43,SYN Flag Cnt,0.013755055266947652,0.00294118423361495
TN,16,27,26,Bwd IAT Tot,0.013723296828906894,0.002664702204861245
TN,16,28,49,ECE Flag Cnt,0.01369300428071987,0.0024978487124253986
TN,16,29,24,Fwd IAT Max,0.01347042955962558,0.0017841674677948726
TN,16,30,22,Fwd IAT Mean,0.013388159949898483,0.001818996847352762
TN,16,31,51,Pkt Size Avg,0.013311397732073123,0.0016739211089902954
TN,16,32,23,Fwd IAT Std,0.013118696892702671,0.0011299206289904454
TN,16,33,53,Bwd Seg Size Avg,0.01306481261693574,0.0027297011354465326
TN,16,34,20,Flow IAT Min,0.013045430823128989,0.002189351348869108
TN,16,35,19,Flow IAT Max,0.013042410740488806,0.001410096186824943
TN,16,36,18,Flow IAT Std,0.013034675482850516,0.0016952760275880385
TN,16,37,64,Active Max,0.012942370183048831,0.0013078606453889683
TN,16,38,67,Idle Std,0.012909631632983108,0.002257066784668873
TN,16,39,29,Bwd IAT Max,0.012865029599791413,0.0021632620439575967
